,distance
0,0.0
1,8.0
2,8.0
3,8.0
4,8.0
5,8.0
6,8.0
7,8.0
8,8.0
9,8.0
10,8.0
11,8.0
12,8.0
13,8.0
14,8.0
15,8.0
16,8.0
17,8.0
18,8.0
19,8.0
20,8.0
21,8.0
22,8.0
23,8.0
24,9.0
25,11.0
26,12.0
27,11.0
28,9.0
29,8.0
30,10.0
31,15.0
32,19.0
33,17.0
34,13.0
35,10.0
36,9.0
37,13.0
38,20.0
39,20.0
40,15.0
41,11.0
42,9.0
43,9.0
44,13.0
45,16.0
46,15.0
47,12.0
48,11.0
49,11.0
50,11.0
51,11.0
52,12.0
53,12.0
54,11.0
55,11.0
56,12.0
57,13.0
58,13.0
59,13.0
60,11.0
61,10.0
62,10.0
63,13.0
64,10.0
65,11.0
66,12.0
67,13.0
68,10.0
69,11.0
70,13.0
71,13.0
72,10.0
73,13.0
74,15.0
75,12.0
76,9.0
77,12.0
78,12.0
79,9.0
80,9.0
81,10.0
82,10.0
83,9.0
84,9.0
85,10.0
86,10.0
87,9.0
88,9.0
89,10.0
90,10.0
91,9.0
92,9.0
93,10.0
94,10.0
95,9.0
96,9.0
97,10.0
98,10.0
