,Empuje
0,0.0
1,-0.013734000000000001
2,0.003924
3,0.013734000000000001
4,0.009810000000000001
5,0.018639
6,0.0049050000000000005
7,0.006867000000000001
8,0.008829
9,0.003924
10,-0.012753
11,-0.007848
12,0.001962
13,0.009810000000000001
14,-0.003924
15,-0.021582000000000004
16,-0.020601
17,-0.000981
18,0.0
19,-0.0
20,0.0
21,0.001962
22,0.005886
23,0.0049050000000000005
24,0.0
25,-0.007848
26,-0.012753
27,0.0049050000000000005
28,0.000981
29,-0.026487000000000004
30,-0.017658
31,-0.008829
32,0.002943
33,0.000981
34,-0.006867000000000001
35,-0.010791000000000002
36,0.001962
37,0.0049050000000000005
38,-0.012753
39,-0.014715
40,-0.002943
41,-0.002943
42,0.005886
43,0.010791000000000002
44,0.007848
45,0.008829
46,0.016677
47,0.008829
48,0.007848
49,-0.013734000000000001
50,-0.022563
51,-0.009810000000000001
52,-0.008829
53,0.000981
54,-0.001962
55,-0.0049050000000000005
56,-0.002943
57,0.005886
58,0.006867000000000001
59,-0.0049050000000000005
60,-0.008829
61,0.011772
62,0.008829
63,0.002943
64,0.007848
65,0.016677
66,-0.0
67,-0.013734000000000001
68,0.000981
69,-0.008829
70,-0.007848
71,-0.007848
72,0.001962
73,-0.007848
74,-0.02943
75,-0.028449
76,0.0
77,-0.013734000000000001
78,-0.023544
79,-0.012753
80,-0.008829
81,0.0
82,0.003924
83,-0.010791000000000002
84,0.008829
85,-0.015696
86,-0.021582000000000004
87,0.002943
88,0.003924
89,-0.007848
90,-0.017658
91,-0.028449
92,-0.034335000000000004
93,-0.011772
94,-0.002943
95,-0.002943
96,0.016677
97,0.006867000000000001
98,-0.001962
99,0.001962
100,0.002943
101,0.003924
102,0.009810000000000001
103,0.0049050000000000005
104,0.001962
105,0.011772
106,0.003924
107,0.001962
108,0.017658
109,0.006867000000000001
110,0.000981
111,0.008829
112,0.011772
113,-0.000981
114,-0.017658
115,0.007848
116,0.030411
117,0.013734000000000001
118,0.0049050000000000005
119,0.0049050000000000005
120,0.009810000000000001
121,0.016677
122,0.003924
123,-0.008829
124,-0.001962
125,-0.000981
126,0.005886
127,0.008829
128,0.012753
129,0.002943
130,0.002943
131,0.013734000000000001
132,0.012753
133,0.001962
134,-0.0049050000000000005
135,0.008829
136,0.013734000000000001
137,0.001962
138,-0.009810000000000001
139,0.003924
140,0.006867000000000001
141,0.000981
142,0.015696
143,0.020601
144,0.027468000000000003
145,0.001962
146,-0.008829
147,-0.000981
148,-0.009810000000000001
149,-0.012753
150,-0.013734000000000001
151,-0.001962
152,0.013734000000000001
153,0.020601
154,0.002943
155,-0.013734000000000001
156,-0.005886
157,0.002943
158,0.006867000000000001
159,0.009810000000000001
160,0.005886
161,-0.002943
162,-0.002943
163,-0.0049050000000000005
164,0.013734000000000001
165,0.012753
166,0.009810000000000001
167,0.011772
168,0.012753
169,0.001962
170,0.0049050000000000005
171,0.000981
172,-0.0
173,0.016677
174,0.020601
175,0.026487000000000004
176,0.023544
177,0.018639
178,-0.000981
179,0.005886
180,-0.007848
181,-0.008829
182,-0.003924
183,-0.0049050000000000005
184,0.002943
185,0.015696
186,0.006867000000000001
187,0.001962
188,0.011772
189,-0.001962
190,-0.0049050000000000005
191,0.968247
192,4.329153000000001
193,19.038267
194,19.038267
195,112.085136
196,112.085136
197,278.618715
198,278.618715
199,432.489546
200,432.489546
201,533.525679
202,567.14553
203,585.472572
204,615.179214
205,535.2630300000001
206,323.46513
207,239.469948
208,133.829001
209,29.696832000000004
210,1.347894
211,-0.04022100000000001
212,-0.055917
213,-0.048069
214,-0.050031000000000006
215,-0.04905
216,-0.019620000000000002
217,-0.019620000000000002
218,-0.027468000000000003
219,-0.023544
220,-0.028449
221,-0.045126
222,-0.036297
223,-0.02943
224,-0.023544
225,-0.033354
226,-0.04316400000000001
227,-0.046107
228,-0.044145
229,-0.033354
230,-0.025506
231,-0.005886
