,Empuje
0,0.0
1,-0.019620000000000002
2,-0.009810000000000001
3,0.019620000000000002
4,0.009810000000000001
5,0.0
6,0.009810000000000001
7,0.009810000000000001
8,-0.009810000000000001
9,0.019620000000000002
10,0.019620000000000002
11,0.02943
12,0.009810000000000001
13,0.009810000000000001
14,0.009810000000000001
15,0.009810000000000001
16,-0.0
17,0.009810000000000001
18,0.009810000000000001
19,-0.009810000000000001
20,0.0
21,0.009810000000000001
22,0.0
23,0.009810000000000001
24,0.009810000000000001
25,0.009810000000000001
26,0.019620000000000002
27,0.0
28,-0.0
29,-0.009810000000000001
30,1.9914300000000003
31,1.9914300000000003
32,102.82842
33,102.82842
34,400.09104
35,400.09104
36,533.4972300000001
37,533.4972300000001
38,607.66083
39,612.98766
40,503.81217000000004
41,525.39417
42,525.39417
43,658.8788400000001
44,677.3706900000001
45,585.00954
46,585.00954
47,640.1613600000001
48,640.1613600000001
49,844.7096700000001
50,525.1293000000001
51,71.95635
52,0.43164
53,1.2360600000000002
54,-2.31516
55,-0.12753
56,0.5886
57,0.02943
58,0.009810000000000001
59,0.039240000000000004
60,0.0
61,-0.0
62,0.0
63,0.019620000000000002
64,-0.0
65,-0.009810000000000001
66,0.009810000000000001
67,0.009810000000000001
68,0.009810000000000001
69,0.009810000000000001
70,0.0
71,0.019620000000000002
72,0.009810000000000001
73,0.009810000000000001
74,0.0
75,-0.009810000000000001
76,-0.0
77,0.009810000000000001
78,0.009810000000000001
79,0.0
80,0.009810000000000001
81,0.009810000000000001
82,0.009810000000000001
83,0.0
84,0.009810000000000001
85,-0.0
86,0.009810000000000001
87,0.019620000000000002
88,0.019620000000000002
89,0.009810000000000001
90,0.019620000000000002
91,0.019620000000000002
92,0.009810000000000001
93,0.0
94,0.0
95,-0.009810000000000001
96,-0.019620000000000002
97,-0.0
98,-0.009810000000000001
99,-0.009810000000000001
100,0.0
101,0.009810000000000001
102,0.02943
103,0.039240000000000004
104,0.019620000000000002
105,0.019620000000000002
106,0.019620000000000002
107,0.019620000000000002
108,0.019620000000000002
109,0.019620000000000002
110,0.019620000000000002
111,0.009810000000000001
112,-0.009810000000000001
113,0.009810000000000001
114,-0.009810000000000001
115,0.009810000000000001
116,0.019620000000000002
117,-0.0
118,0.009810000000000001
119,0.019620000000000002
120,0.0
121,0.0
122,-0.0
123,-0.0
124,-0.0
125,-0.009810000000000001
126,-0.019620000000000002
127,-0.009810000000000001
128,0.009810000000000001
129,-0.0
130,-0.009810000000000001
131,-0.009810000000000001
132,0.019620000000000002
133,0.009810000000000001
134,0.02943
135,0.019620000000000002
136,0.009810000000000001
137,0.0
138,0.019620000000000002
139,0.019620000000000002
140,0.009810000000000001
141,0.019620000000000002
142,0.019620000000000002
143,0.009810000000000001
144,0.0
145,-0.009810000000000001
146,0.009810000000000001
147,0.0
148,0.0
149,0.019620000000000002
150,0.009810000000000001
151,-0.009810000000000001
152,-0.009810000000000001
153,-0.009810000000000001
154,0.0
155,-0.0
156,-0.0
157,0.0
158,-0.0
159,0.009810000000000001
160,0.019620000000000002
161,0.019620000000000002
162,0.019620000000000002
163,0.009810000000000001
164,0.0
165,0.0
166,-0.0
167,-0.009810000000000001
168,-0.009810000000000001
169,-0.0
170,-0.009810000000000001
171,-0.0
172,-0.009810000000000001
173,-0.009810000000000001
174,-0.009810000000000001
175,0.0
176,0.009810000000000001
177,0.009810000000000001
178,0.019620000000000002
179,0.02943
180,0.009810000000000001
181,0.0
182,0.0
183,0.0
184,-0.009810000000000001
185,-0.009810000000000001
186,-0.009810000000000001
187,-0.0
188,0.0
189,0.0
190,0.009810000000000001
191,0.019620000000000002
192,0.009810000000000001
193,-0.0
194,-0.009810000000000001
195,0.009810000000000001
196,0.009810000000000001
197,-0.009810000000000001
198,-0.0
199,-0.009810000000000001
200,0.0
201,-0.0
202,-0.009810000000000001
203,0.0
204,0.009810000000000001
205,0.009810000000000001
206,-0.009810000000000001
207,0.009810000000000001
208,0.009810000000000001
209,0.0
210,0.009810000000000001
211,0.009810000000000001
212,0.009810000000000001
213,0.0
214,0.019620000000000002
215,0.009810000000000001
216,-0.0
217,0.009810000000000001
218,0.02943
219,0.009810000000000001
220,-0.0
221,0.009810000000000001
222,0.019620000000000002
223,0.009810000000000001
224,0.009810000000000001
225,0.0
226,0.0
227,0.009810000000000001
228,0.009810000000000001
229,-0.009810000000000001
230,-0.019620000000000002
231,0.0
232,0.009810000000000001
233,0.019620000000000002
234,0.0
235,0.009810000000000001
236,0.02943
237,0.009810000000000001
238,0.0
239,0.009810000000000001
240,0.019620000000000002
241,0.019620000000000002
242,0.019620000000000002
243,0.009810000000000001
244,0.0
245,0.009810000000000001
246,0.019620000000000002
247,0.0
248,0.009810000000000001
249,0.0
250,0.009810000000000001
251,-0.0
252,0.009810000000000001
253,-0.0
254,-0.0
255,0.009810000000000001
256,0.009810000000000001
257,0.009810000000000001
258,0.009810000000000001
259,0.019620000000000002
260,0.019620000000000002
261,0.0
262,0.009810000000000001
263,0.019620000000000002
264,0.0
265,0.009810000000000001
266,0.02943
267,0.019620000000000002
268,0.009810000000000001
269,0.009810000000000001
270,0.019620000000000002
271,-0.009810000000000001
272,-0.0
273,0.02943
274,0.02943
275,0.019620000000000002
276,0.0
277,0.009810000000000001
278,0.019620000000000002
279,0.009810000000000001
280,0.0
281,-0.009810000000000001
282,-0.019620000000000002
283,-0.0
284,0.009810000000000001
285,0.009810000000000001
286,0.009810000000000001
287,0.019620000000000002
288,0.019620000000000002
289,0.019620000000000002
290,0.019620000000000002
291,0.019620000000000002
292,0.02943
293,0.009810000000000001
294,0.009810000000000001
295,0.019620000000000002
296,0.009810000000000001
297,0.0
298,-0.0
299,-0.0
300,0.0
301,0.019620000000000002
302,0.009810000000000001
303,0.019620000000000002
304,0.0
305,0.0
306,0.0
307,0.0
308,0.019620000000000002
309,-0.009810000000000001
310,-0.009810000000000001
311,0.0
312,-0.0
313,0.009810000000000001
314,0.009810000000000001
315,0.009810000000000001
316,-0.009810000000000001
317,0.009810000000000001
318,0.0
319,-0.009810000000000001
320,-0.009810000000000001
321,0.009810000000000001
322,0.02943
323,0.009810000000000001
324,0.009810000000000001
325,0.009810000000000001
326,0.009810000000000001
327,0.0
328,-0.009810000000000001
329,-0.009810000000000001
330,-0.0
331,0.009810000000000001
