,distance
0,0.0
1,10.0
2,10.0
3,10.0
4,10.0
5,10.0
6,10.0
7,10.0
8,10.0
9,10.0
10,10.0
11,10.0
12,10.0
13,10.0
14,10.0
15,10.0
16,10.0
17,10.0
18,10.0
19,10.0
20,10.0
21,10.0
22,10.0
23,10.0
24,10.0
25,10.0
26,10.0
27,10.0
28,10.0
29,10.0
30,10.0
31,10.0
32,10.0
33,10.0
34,10.0
35,10.0
36,10.0
37,10.0
38,10.0
39,10.0
40,10.0
41,10.0
42,10.0
43,10.0
44,10.0
45,10.0
46,10.0
47,10.0
48,10.0
49,10.0
50,10.0
51,10.0
52,10.0
53,10.0
54,10.0
55,10.0
56,10.0
57,10.0
58,10.0
59,10.0
60,10.0
61,10.0
62,10.0
63,10.0
64,10.0
65,10.0
66,10.0
67,10.0
68,10.0
69,10.0
70,10.0
71,10.0
72,10.0
73,10.0
74,10.0
75,10.0
76,10.0
77,10.0
78,10.0
79,10.0
80,10.0
81,10.0
82,10.0
83,10.0
84,10.0
85,10.0
86,10.0
87,10.0
88,10.0
89,10.0
90,10.0
91,10.0
92,10.0
93,10.0
94,10.0
95,10.0
96,10.0
97,10.0
98,10.0
99,10.0
100,10.0
101,10.0
102,10.0
103,10.0
104,10.0
105,10.0
106,10.0
107,10.0
108,10.0
109,10.0
110,10.0
111,10.0
112,10.0
113,10.0
114,10.0
115,10.0
116,10.0
117,10.0
118,10.0
119,10.0
120,10.0
121,10.0
122,10.0
123,10.0
124,10.0
125,10.0
126,10.0
127,10.0
128,10.0
129,10.0
130,10.0
131,10.0
132,10.0
133,10.0
134,10.0
135,10.0
136,10.0
137,10.0
138,10.0
139,10.0
140,10.0
141,10.0
142,10.0
143,10.0
144,10.0
145,10.0
146,10.0
147,10.0
148,10.0
149,10.0
150,10.0
151,10.0
152,10.0
153,10.0
154,10.0
155,9.0
156,11.0
157,16.0
158,15.0
159,12.0
160,10.0
161,13.0
162,16.0
163,16.0
164,16.0
165,15.0
166,10.0
167,10.0
168,11.0
169,15.0
170,16.0
171,15.0
172,13.0
173,10.0
174,17.0
175,14.0
176,19.0
177,21.0
178,17.0
179,13.0
180,10.0
181,9.0
182,8.0
183,11.0
184,14.0
185,18.0
186,21.0
187,19.0
188,16.0
189,12.0
190,9.0
191,8.0
192,11.0
193,14.0
194,14.0
195,11.0
196,9.0
197,10.0
198,12.0
199,13.0
200,13.0
201,11.0
202,14.0
203,13.0
204,13.0
205,10.0
206,10.0
207,12.0
208,15.0
209,17.0
210,17.0
211,12.0
212,9.0
213,9.0
214,12.0
215,14.0
216,18.0
217,14.0
218,13.0
219,10.0
220,9.0
221,11.0
222,13.0
223,13.0
224,13.0
225,12.0
226,10.0
227,9.0
228,11.0
229,14.0
230,20.0
231,15.0
232,12.0
233,10.0
234,10.0
235,10.0
236,9.0
237,9.0
238,9.0
239,10.0
240,8.0
241,6.0
242,7.0
243,9.0
244,13.0
245,12.0
246,9.0
247,6.0
248,6.0
249,7.0
250,13.0
251,13.0
252,16.0
253,24.0
254,24.0
255,16.0
256,12.0
257,21.0
258,7.0
259,7.0
260,7.0
261,8.0
262,9.0
263,12.0
264,12.0
265,19.0
266,18.0
267,16.0
268,13.0
269,10.0
270,8.0
271,8.0
272,11.0
273,15.0
274,16.0
275,15.0
276,17.0
277,17.0
278,14.0
279,12.0
280,10.0
281,8.0
282,7.0
283,7.0
