,distance
284,7.0
285,7.0
286,7.0
287,7.0
288,8.0
289,10.0
290,13.0
291,15.0
292,16.0
293,15.0
294,10.0
295,8.0
296,7.0
297,10.0
298,13.0
299,18.0
300,24.0
301,26.0
302,28.0
303,28.0
304,29.0
305,29.0
306,29.0
307,20.0
308,17.0
309,13.0
310,9.0
311,8.0
312,8.0
313,11.0
314,15.0
315,16.0
316,19.0
317,23.0
318,25.0
319,25.0
320,25.0
321,21.0
322,21.0
323,13.0
324,11.0
325,12.0
326,15.0
327,16.0
328,18.0
329,20.0
330,19.0
331,16.0
332,13.0
333,11.0
334,10.0
335,13.0
336,17.0
337,20.0
338,21.0
339,17.0
340,13.0
341,11.0
342,12.0
343,17.0
344,19.0
345,23.0
346,23.0
347,19.0
348,14.0
349,12.0
350,10.0
351,8.0
352,6.0
353,7.0
354,7.0
355,9.0
356,15.0
357,16.0
358,19.0
359,21.0
360,25.0
361,25.0
362,19.0
363,14.0
364,11.0
365,8.0
366,8.0
367,8.0
368,11.0
369,14.0
370,18.0
371,20.0
372,24.0
373,22.0
374,25.0
375,21.0
376,17.0
377,13.0
378,11.0
379,9.0
380,8.0
381,8.0
382,7.0
383,7.0
384,6.0
385,7.0
386,10.0
387,13.0
388,17.0
389,20.0
390,20.0
391,20.0
392,16.0
393,15.0
394,12.0
395,9.0
396,8.0
397,10.0
398,10.0
399,11.0
400,14.0
401,17.0
402,24.0
403,27.0
404,24.0
405,22.0
406,22.0
407,19.0
408,19.0
409,15.0
410,13.0
411,10.0
412,9.0
413,9.0
414,10.0
415,11.0
416,12.0
417,14.0
418,18.0
419,18.0
420,19.0
421,21.0
422,22.0
423,21.0
424,23.0
425,25.0
426,20.0
427,21.0
428,17.0
429,14.0
430,12.0
431,10.0
432,10.0
433,10.0
434,11.0
435,12.0
436,12.0
437,18.0
438,20.0
439,25.0
440,24.0
441,24.0
442,23.0
443,22.0
444,17.0
445,15.0
446,11.0
447,10.0
448,11.0
449,16.0
450,21.0
451,22.0
452,22.0
453,17.0
454,21.0
455,20.0
456,18.0
457,14.0
458,14.0
459,15.0
460,16.0
461,16.0
462,18.0
463,18.0
464,18.0
465,18.0
466,18.0
467,18.0
468,18.0
469,18.0
470,18.0
471,18.0
472,18.0
473,18.0
474,18.0
475,18.0
476,18.0
477,18.0
478,18.0
479,18.0
480,18.0
481,18.0
482,18.0
483,18.0
484,18.0
485,18.0
486,18.0
487,18.0
488,18.0
489,18.0
490,18.0
491,18.0
492,18.0
493,18.0
494,18.0
495,18.0
496,18.0
497,18.0
498,18.0
499,18.0
500,18.0
501,18.0
502,18.0
503,18.0
504,18.0
505,18.0
506,18.0
507,18.0
508,18.0
509,18.0
510,18.0
511,18.0
512,18.0
513,18.0
514,18.0
515,18.0
516,18.0
517,18.0
518,18.0
519,18.0
520,18.0
521,18.0
522,18.0
523,18.0
524,18.0
525,18.0
526,18.0
527,18.0
528,18.0
529,18.0
530,18.0
531,18.0
532,18.0
533,18.0
534,18.0
535,18.0
536,18.0
537,18.0
538,18.0
539,18.0
540,18.0
541,18.0
542,18.0
543,18.0
544,18.0
545,18.0
546,18.0
547,18.0
548,18.0
549,18.0
550,18.0
551,18.0
552,18.0
553,18.0
554,18.0
555,18.0
556,18.0
557,18.0
558,18.0
559,18.0
560,18.0
561,18.0
562,18.0
563,18.0
564,18.0
565,18.0
566,18.0
567,18.0
568,16.0
569,16.0
570,18.0
571,19.0
572,17.0
573,16.0
574,16.0
575,16.0
576,19.0
577,18.0
578,18.0
579,17.0
580,17.0
581,17.0
582,17.0
583,18.0
584,16.0
585,17.0
586,18.0
587,18.0
588,18.0
589,20.0
590,20.0
591,20.0
592,20.0
593,20.0
594,18.0
595,18.0
596,18.0
597,18.0
598,18.0
599,18.0
600,18.0
601,20.0
602,20.0
603,20.0
604,20.0
605,20.0
606,20.0
607,19.0
608,19.0
609,20.0
610,20.0
611,19.0
612,20.0
613,20.0
614,20.0
615,20.0
616,20.0
617,20.0
618,20.0
619,20.0
620,20.0
621,20.0
622,20.0
623,19.0
624,19.0
625,19.0
626,20.0
627,20.0
628,20.0
629,20.0
630,19.0
631,19.0
632,19.0
633,19.0
634,19.0
635,19.0
636,19.0
637,19.0
638,20.0
639,20.0
640,19.0
641,19.0
642,19.0
643,19.0
644,19.0
645,19.0
646,19.0
647,19.0
648,19.0
649,19.0
650,19.0
651,19.0
652,19.0
653,19.0
654,19.0
655,19.0
656,20.0
657,20.0
658,20.0
659,20.0
660,20.0
661,20.0
662,20.0
663,20.0
664,20.0
665,20.0
666,20.0
667,20.0
668,20.0
669,20.0
670,20.0
671,20.0
672,20.0
673,20.0
674,20.0
675,20.0
676,20.0
677,20.0
678,20.0
679,20.0
680,20.0
681,20.0
682,20.0
683,18.0
684,20.0
685,20.0
686,20.0
687,20.0
688,20.0
689,20.0
690,20.0
691,20.0
692,20.0
693,20.0
694,20.0
695,20.0
696,20.0
697,20.0
698,20.0
699,20.0
700,20.0
701,20.0
702,20.0
703,20.0
704,20.0
705,20.0
706,20.0
707,20.0
708,20.0
709,20.0
710,20.0
711,20.0
712,20.0
713,20.0
714,20.0
715,20.0
716,20.0
717,20.0
718,20.0
719,20.0
720,20.0
721,20.0
722,20.0
723,20.0
724,20.0
725,20.0
726,20.0
727,20.0
728,20.0
729,20.0
730,20.0
731,20.0
732,20.0
733,20.0
734,20.0
735,20.0
736,20.0
737,20.0
738,20.0
739,20.0
740,20.0
741,20.0
742,20.0
743,20.0
744,20.0
745,20.0
746,20.0
747,20.0
748,20.0
749,20.0
750,20.0
751,20.0
752,20.0
753,20.0
754,20.0
755,20.0
756,20.0
757,20.0
758,20.0
759,20.0
760,19.0
761,19.0
762,19.0
763,19.0
764,19.0
765,19.0
766,19.0
767,19.0
768,19.0
769,19.0
770,19.0
771,19.0
772,19.0
773,19.0
774,20.0
775,20.0
776,20.0
777,20.0
778,20.0
779,20.0
780,20.0
781,20.0
782,20.0
783,20.0
784,20.0
785,20.0
786,20.0
787,20.0
788,20.0
789,20.0
790,19.0
791,19.0
792,19.0
793,19.0
794,19.0
795,20.0
796,20.0
797,20.0
798,20.0
799,20.0
800,20.0
801,20.0
802,20.0
803,20.0
804,20.0
805,20.0
806,20.0
807,20.0
808,20.0
809,20.0
810,20.0
811,20.0
812,20.0
813,20.0
814,20.0
815,20.0
816,20.0
817,20.0
818,20.0
819,20.0
820,20.0
821,19.0
822,18.0
823,19.0
824,19.0
825,19.0
826,19.0
827,19.0
828,19.0
829,19.0
830,19.0
831,19.0
832,19.0
833,20.0
834,20.0
835,20.0
836,20.0
837,19.0
838,19.0
839,20.0
840,20.0
841,20.0
842,20.0
843,20.0
844,20.0
845,20.0
846,20.0
847,20.0
848,19.0
849,19.0
850,19.0
851,19.0
852,19.0
853,19.0
854,19.0
855,19.0
856,20.0
857,20.0
858,20.0
859,20.0
860,19.0
861,19.0
862,20.0
863,20.0
864,20.0
865,20.0
866,20.0
867,20.0
868,20.0
869,20.0
870,20.0
871,20.0
872,20.0
873,20.0
874,20.0
875,20.0
876,21.0
877,20.0
878,20.0
879,20.0
880,20.0
881,20.0
882,19.0
883,19.0
884,20.0
885,19.0
886,19.0
887,20.0
888,20.0
889,20.0
890,20.0
891,20.0
892,19.0
893,19.0
894,19.0
895,19.0
896,20.0
897,19.0
898,19.0
899,19.0
900,19.0
901,19.0
902,19.0
903,18.0
904,17.0
905,17.0
906,18.0
907,18.0
908,19.0
909,19.0
910,19.0
911,20.0
912,21.0
913,31.0
914,20.0
915,19.0
916,19.0
917,19.0
918,19.0
919,19.0
920,19.0
921,19.0
922,20.0
923,20.0
924,20.0
925,18.0
926,18.0
927,18.0
928,19.0
929,19.0
930,19.0
931,19.0
932,19.0
933,19.0
934,19.0
935,19.0
936,19.0
937,18.0
938,18.0
939,20.0
940,20.0
941,20.0
942,20.0
943,20.0
944,20.0
945,20.0
946,20.0
947,17.0
948,14.0
949,12.0
950,9.0
951,9.0
952,11.0
953,16.0
954,17.0
955,18.0
956,19.0
957,19.0
958,20.0
959,19.0
960,21.0
961,21.0
962,21.0
963,23.0
964,23.0
965,23.0
966,23.0
967,23.0
968,27.0
969,34.0
970,35.0
971,36.0
972,35.0
973,21.0
974,21.0
975,21.0
976,21.0
977,21.0
978,21.0
979,21.0
980,21.0
981,19.0
982,19.0
983,19.0
984,19.0
985,19.0
986,19.0
987,19.0
988,19.0
989,19.0
990,19.0
991,19.0
992,19.0
993,19.0
994,19.0
995,19.0
996,19.0
997,19.0
998,19.0
999,19.0
1000,19.0
1001,19.0
1002,19.0
1003,19.0
1004,19.0
1005,19.0
1006,19.0
1007,18.0
1008,19.0
1009,19.0
1010,18.0
1011,19.0
1012,19.0
1013,19.0
1014,19.0
1015,19.0
1016,20.0
1017,20.0
1018,20.0
1019,20.0
1020,20.0
1021,20.0
1022,20.0
1023,20.0
1024,20.0
1025,24.0
1026,25.0
1027,19.0
1028,20.0
1029,20.0
1030,20.0
1031,20.0
1032,20.0
1033,20.0
1034,20.0
1035,20.0
1036,20.0
1037,20.0
1038,20.0
1039,20.0
1040,20.0
1041,20.0
1042,20.0
1043,20.0
1044,20.0
1045,20.0
1046,20.0
1047,20.0
1048,20.0
1049,20.0
1050,20.0
1051,20.0
1052,20.0
1053,20.0
1054,20.0
1055,20.0
1056,20.0
1057,20.0
1058,20.0
1059,20.0
1060,20.0
1061,20.0
1062,20.0
1063,20.0
1064,20.0
1065,20.0
1066,20.0
1067,20.0
1068,20.0
1069,20.0
1070,20.0
1071,20.0
1072,20.0
1073,20.0
1074,20.0
1075,20.0
1076,20.0
1077,20.0
1078,20.0
1079,20.0
1080,20.0
1081,20.0
1082,20.0
1083,20.0
1084,20.0
1085,20.0
1086,20.0
1087,20.0
1088,20.0
1089,20.0
1090,20.0
1091,20.0
1092,20.0
1093,20.0
1094,20.0
1095,20.0
1096,20.0
1097,20.0
1098,20.0
1099,20.0
1100,20.0
1101,20.0
1102,20.0
1103,20.0
1104,20.0
1105,20.0
1106,20.0
1107,20.0
1108,20.0
1109,20.0
1110,20.0
1111,20.0
1112,20.0
1113,20.0
1114,20.0
1115,20.0
1116,20.0
1117,20.0
1118,20.0
1119,20.0
1120,20.0
1121,20.0
1122,20.0
1123,20.0
1124,20.0
1125,20.0
1126,20.0
1127,20.0
1128,20.0
1129,20.0
1130,20.0
1131,20.0
1132,20.0
1133,20.0
1134,20.0
1135,20.0
1136,20.0
1137,20.0
1138,20.0
1139,20.0
1140,20.0
1141,20.0
1142,20.0
1143,20.0
1144,20.0
1145,20.0
1146,20.0
1147,20.0
1148,20.0
1149,20.0
1150,20.0
1151,20.0
1152,20.0
1153,20.0
1154,20.0
1155,20.0
1156,20.0
1157,20.0
1158,20.0
1159,20.0
1160,20.0
1161,20.0
1162,20.0
1163,20.0
1164,20.0
1165,20.0
1166,20.0
1167,20.0
1168,20.0
1169,20.0
1170,20.0
1171,20.0
1172,20.0
1173,20.0
1174,20.0
1175,20.0
1176,20.0
1177,20.0
1178,20.0
1179,20.0
1180,20.0
1181,20.0
1182,20.0
1183,20.0
1184,20.0
1185,20.0
1186,20.0
1187,20.0
1188,20.0
1189,20.0
1190,20.0
1191,20.0
1192,20.0
1193,20.0
1194,20.0
1195,20.0
1196,20.0
1197,20.0
1198,20.0
1199,20.0
1200,20.0
1201,20.0
1202,20.0
1203,20.0
1204,20.0
1205,20.0
1206,20.0
1207,20.0
1208,20.0
1209,20.0
1210,20.0
1211,20.0
1212,20.0
1213,20.0
1214,20.0
1215,20.0
1216,20.0
1217,20.0
1218,20.0
1219,20.0
1220,20.0
1221,20.0
1222,20.0
1223,20.0
1224,20.0
1225,20.0
1226,20.0
1227,20.0
1228,20.0
1229,20.0
1230,20.0
1231,20.0
1232,20.0
1233,20.0
1234,20.0
1235,20.0
1236,20.0
1237,20.0
1238,20.0
1239,20.0
1240,20.0
1241,20.0
1242,20.0
1243,20.0
1244,20.0
1245,20.0
1246,20.0
1247,20.0
1248,20.0
1249,20.0
1250,20.0
1251,20.0
1252,20.0
1253,20.0
1254,20.0
1255,20.0
1256,20.0
1257,20.0
1258,20.0
1259,20.0
1260,20.0
1261,20.0
1262,20.0
1263,20.0
1264,20.0
1265,20.0
1266,20.0
1267,20.0
1268,20.0
1269,20.0
1270,20.0
1271,20.0
1272,20.0
1273,20.0
1274,20.0
1275,20.0
1276,20.0
1277,20.0
1278,20.0
1279,20.0
1280,20.0
1281,20.0
1282,20.0
1283,20.0
1284,20.0
1285,20.0
1286,20.0
1287,20.0
1288,20.0
1289,20.0
1290,20.0
1291,20.0
1292,20.0
1293,20.0
1294,20.0
1295,20.0
1296,20.0
1297,20.0
1298,20.0
1299,20.0
1300,20.0
1301,20.0
1302,20.0
1303,20.0
1304,20.0
1305,20.0
1306,20.0
1307,20.0
1308,20.0
1309,20.0
1310,20.0
1311,20.0
1312,20.0
1313,20.0
1314,20.0
1315,20.0
1316,20.0
1317,20.0
1318,20.0
1319,20.0
1320,20.0
1321,20.0
1322,20.0
1323,20.0
1324,20.0
1325,20.0
1326,20.0
1327,20.0
1328,20.0
1329,20.0
1330,20.0
1331,20.0
1332,20.0
1333,20.0
1334,20.0
1335,20.0
1336,20.0
1337,20.0
1338,20.0
1339,20.0
1340,20.0
1341,20.0
1342,20.0
1343,20.0
1344,20.0
1345,20.0
1346,20.0
1347,20.0
1348,20.0
1349,20.0
1350,20.0
1351,20.0
1352,20.0
1353,20.0
1354,20.0
1355,20.0
1356,20.0
1357,20.0
1358,20.0
1359,20.0
1360,20.0
1361,20.0
1362,20.0
