,Empuje
0,0.0
1,-0.020601
2,-0.012753
3,-0.019620000000000002
4,-0.019620000000000002
5,-0.021582000000000004
6,-0.013734000000000001
7,0.0049050000000000005
8,0.013734000000000001
9,0.008829
10,0.013734000000000001
11,0.003924
12,0.001962
13,0.018639
14,0.014715
15,0.010791000000000002
16,0.013734000000000001
17,0.015696
18,0.012753
19,0.014715
20,0.008829
21,0.010791000000000002
22,0.012753
23,0.003924
24,0.005886
25,-0.005886
26,-0.008829
27,-0.000981
28,0.005886
29,0.007848
30,0.009810000000000001
31,-0.001962
32,-0.0049050000000000005
33,-0.0049050000000000005
34,-0.002943
35,0.007848
36,0.0049050000000000005
37,-0.008829
38,-0.008829
39,0.000981
40,-0.000981
41,0.0049050000000000005
42,0.008829
43,0.0
44,0.012753
45,0.003924
46,0.002943
47,0.012753
48,0.013734000000000001
49,0.016677
50,0.000981
51,-0.001962
52,0.001962
53,0.008829
54,0.000981
55,0.0
56,0.007848
57,0.002943
58,-0.007848
59,0.002943
60,0.008829
61,0.012753
62,-0.012753
63,-0.0
64,0.002943
65,0.005886
66,0.022563
67,0.032373
68,0.012753
69,0.013734000000000001
70,0.023544
71,0.005886
72,0.015696
73,0.005886
74,0.002943
75,-0.003924
76,0.015696
77,0.019620000000000002
78,0.001962
79,0.014715
80,0.002943
81,0.003924
82,0.010791000000000002
83,0.007848
84,0.014715
85,0.018639
86,0.005886
87,0.008829
88,0.001962
89,-0.0049050000000000005
90,0.016677
91,0.015696
92,0.003924
93,0.005886
94,0.001962
95,0.010791000000000002
96,0.018639
97,-0.003924
98,-0.0049050000000000005
99,0.007848
100,0.018639
101,0.024525
102,0.017658
103,0.007848
104,0.019620000000000002
105,0.019620000000000002
106,0.013734000000000001
107,0.008829
108,0.003924
109,-0.011772
110,-0.000981
111,-0.009810000000000001
112,-0.012753
113,-0.008829
114,-0.003924
115,0.008829
116,0.005886
117,-0.006867000000000001
118,-0.002943
119,0.001962
120,0.005886
121,0.008829
122,-0.003924
123,-0.010791000000000002
124,-0.005886
125,-0.008829
126,-0.009810000000000001
127,-0.0049050000000000005
128,-0.011772
129,-0.014715
130,0.002943
131,-0.001962
132,-0.007848
133,-0.0049050000000000005
134,-0.006867000000000001
135,0.005886
136,0.005886
137,-0.014715
138,-0.020601
139,-0.008829
140,0.002943
141,-0.005886
142,-0.003924
143,0.012753
144,-0.002943
145,-0.002943
146,0.0049050000000000005
147,-0.015696
148,-0.027468000000000003
149,-0.020601
150,0.002943
151,-0.003924
152,-0.019620000000000002
153,-0.012753
154,-0.009810000000000001
155,-0.009810000000000001
156,-0.007848
157,0.002943
158,0.003924
159,0.011772
160,0.008829
161,-0.001962
162,0.002943
163,0.006867000000000001
164,0.008829
165,0.025506
166,0.014715
167,0.001962
168,0.008829
169,0.016677
170,0.016677
171,-0.005886
172,-0.009810000000000001
173,0.003924
174,-0.006867000000000001
175,-0.012753
176,-0.002943
177,0.012753
178,0.017658
179,0.009810000000000001
180,-0.002943
181,0.003924
182,0.000981
183,-0.003924
184,-0.021582000000000004
185,-0.010791000000000002
186,0.003924
187,0.0
188,0.013734000000000001
189,0.018639
190,0.014715
191,0.0
192,0.015696
193,0.017658
194,0.020601
195,0.042183000000000005
196,0.046107
197,0.020601
198,0.020601
199,-0.002943
200,-0.0
201,-0.0
202,0.018639
203,0.011772
204,0.020601
205,0.023544
206,0.000981
207,0.013734000000000001
208,0.024525
209,0.020601
210,0.025506
211,0.016677
212,0.011772
213,0.008829
214,0.021582000000000004
215,0.023544
216,0.003924
217,0.001962
218,-0.003924
219,0.007848
220,0.005886
221,0.008829
222,98.10000000000001
223,-0.008829
224,-0.0
225,-0.002943
226,0.008829
227,0.001962
228,0.000981
229,0.007848
230,-0.005886
231,-0.019620000000000002
