,distance
0,0.0
1,4.0
2,4.0
3,4.0
4,4.0
5,4.0
6,4.0
7,4.0
8,4.0
9,4.0
10,4.0
11,4.0
12,4.0
13,4.0
14,4.0
15,4.0
16,4.0
17,4.0
18,4.0
19,4.0
20,4.0
21,4.0
22,4.0
23,4.0
24,4.0
25,4.0
26,4.0
27,4.0
28,4.0
29,4.0
30,4.0
31,4.0
32,4.0
33,4.0
34,4.0
35,4.0
36,4.0
37,4.0
38,4.0
39,4.0
40,4.0
41,4.0
42,4.0
43,4.0
44,4.0
45,4.0
46,4.0
47,4.0
48,4.0
49,4.0
50,4.0
51,4.0
52,4.0
53,4.0
54,4.0
55,4.0
56,4.0
57,4.0
58,4.0
59,4.0
60,4.0
61,4.0
62,4.0
63,4.0
64,4.0
65,4.0
66,4.0
67,4.0
68,4.0
69,4.0
70,4.0
71,4.0
72,4.0
73,4.0
74,4.0
75,4.0
76,4.0
77,4.0
78,4.0
79,4.0
80,4.0
81,4.0
82,4.0
83,4.0
84,4.0
85,4.0
86,4.0
87,4.0
88,4.0
89,4.0
90,4.0
91,4.0
92,4.0
93,4.0
94,4.0
95,4.0
96,4.0
97,4.0
98,4.0
99,4.0
100,4.0
101,4.0
102,4.0
103,4.0
104,4.0
105,4.0
106,4.0
107,4.0
108,4.0
109,4.0
110,4.0
111,4.0
112,4.0
113,4.0
114,4.0
115,4.0
116,4.0
117,4.0
118,4.0
119,4.0
120,4.0
121,4.0
122,4.0
123,4.0
124,4.0
125,4.0
126,4.0
127,4.0
128,4.0
129,4.0
130,4.0
131,4.0
132,4.0
133,4.0
134,4.0
135,4.0
136,4.0
137,4.0
138,4.0
139,4.0
140,4.0
141,4.0
142,4.0
143,4.0
144,4.0
145,4.0
146,4.0
147,4.0
148,4.0
149,4.0
150,4.0
151,4.0
152,4.0
153,4.0
154,4.0
155,4.0
156,4.0
157,4.0
158,4.0
159,4.0
160,4.0
161,4.0
162,4.0
163,4.0
164,4.0
165,4.0
166,4.0
167,4.0
168,4.0
169,4.0
170,4.0
171,4.0
172,4.0
173,4.0
174,4.0
175,4.0
176,4.0
177,4.0
178,4.0
179,4.0
180,4.0
181,4.0
182,4.0
183,4.0
184,13.0
185,14.0
186,16.0
187,16.0
188,19.0
189,19.0
190,16.0
191,14.0
192,15.0
193,17.0
194,19.0
195,19.0
196,17.0
197,13.0
198,11.0
199,12.0
200,13.0
201,17.0
202,17.0
203,19.0
204,15.0
205,13.0
206,14.0
207,17.0
208,17.0
209,24.0
210,21.0
211,19.0
212,19.0
213,14.0
214,12.0
215,12.0
216,15.0
217,18.0
218,19.0
219,19.0
220,21.0
221,12.0
222,11.0
223,12.0
224,16.0
225,16.0
226,21.0
227,17.0
228,14.0
229,12.0
230,11.0
231,14.0
232,18.0
233,20.0
234,19.0
235,18.0
236,13.0
237,11.0
238,9.0
239,10.0
240,13.0
241,18.0
242,27.0
243,25.0
244,25.0
245,31.0
246,31.0
247,33.0
248,31.0
249,26.0
250,24.0
251,21.0
252,18.0
253,17.0
254,13.0
255,13.0
256,13.0
257,16.0
258,18.0
259,21.0
260,23.0
261,27.0
262,25.0
263,25.0
264,22.0
265,22.0
266,15.0
267,12.0
268,12.0
269,12.0
270,12.0
271,13.0
272,12.0
273,14.0
274,14.0
275,20.0
276,24.0
277,25.0
278,28.0
279,30.0
280,33.0
281,31.0
282,32.0
283,31.0
284,28.0
285,25.0
286,25.0
287,18.0
288,20.0
289,12.0
290,12.0
291,12.0
292,16.0
293,20.0
294,26.0
295,25.0
296,28.0
297,29.0
298,26.0
299,23.0
300,18.0
301,15.0
302,11.0
303,9.0
304,8.0
305,8.0
306,8.0
307,7.0
308,6.0
309,8.0
310,10.0
311,14.0
312,16.0
313,19.0
314,23.0
315,23.0
316,25.0
317,24.0
318,20.0
319,17.0
320,14.0
321,11.0
322,9.0
323,8.0
324,7.0
325,7.0
326,7.0
327,9.0
328,11.0
329,11.0
330,19.0
331,19.0
332,20.0
333,21.0
334,24.0
335,24.0
336,25.0
337,27.0
338,28.0
339,29.0
340,30.0
341,29.0
342,30.0
343,24.0
344,21.0
345,20.0
346,21.0
347,20.0
348,25.0
349,25.0
350,21.0
351,21.0
352,22.0
353,22.0
354,24.0
355,21.0
356,21.0
357,21.0
358,21.0
359,21.0
360,20.0
361,22.0
362,18.0
363,22.0
364,20.0
365,19.0
366,21.0
367,18.0
368,18.0
369,18.0
370,18.0
371,15.0
372,15.0
373,15.0
374,15.0
375,15.0
376,15.0
377,15.0
378,15.0
379,15.0
380,15.0
381,15.0
382,15.0
383,15.0
384,15.0
385,15.0
386,15.0
387,15.0
388,14.0
389,14.0
390,14.0
391,14.0
392,15.0
393,15.0
394,15.0
395,15.0
396,15.0
397,15.0
398,15.0
399,15.0
400,15.0
401,15.0
402,15.0
403,15.0
404,15.0
405,15.0
406,15.0
407,15.0
408,15.0
409,15.0
410,15.0
411,15.0
412,15.0
413,15.0
414,15.0
415,15.0
416,15.0
