,Empuje
0,0.0
1,0.009810000000000001
2,0.009810000000000001
3,-0.0
4,-0.019620000000000002
5,-0.0
6,0.009810000000000001
7,-0.009810000000000001
8,-0.009810000000000001
9,-0.009810000000000001
10,-0.0
11,0.019620000000000002
12,0.0
13,-0.009810000000000001
14,0.0
15,0.0
16,0.0
17,0.019620000000000002
18,0.019620000000000002
19,0.019620000000000002
20,0.009810000000000001
21,-0.0
22,-0.019620000000000002
23,-0.009810000000000001
24,0.0
25,0.019620000000000002
26,0.019620000000000002
27,0.02943
28,0.009810000000000001
29,-0.0
30,0.009810000000000001
31,-0.0
32,0.009810000000000001
33,0.0
34,-0.009810000000000001
35,0.0
36,0.0
37,-0.0
38,0.0
39,0.019620000000000002
40,0.0981
41,23.848110000000002
42,23.848110000000002
43,215.59437000000003
44,215.59437000000003
45,466.94619
46,488.9304000000001
47,487.98864000000003
48,487.98864000000003
49,606.66021
50,638.87625
51,609.99561
52,653.46372
53,673.8096600000001
54,649.2454200000001
55,600.61725
56,630.3317400000001
57,630.3317400000001
58,705.23109
59,705.23109
60,755.9095500000001
61,769.7612700000001
62,744.68691
63,617.22558
64,241.50258
65,20.669670000000004
66,-0.009810000000000001
67,-0.039240000000000004
68,-0.02943
69,-0.009810000000000001
70,-0.02943
71,-0.019620000000000002
72,-0.019620000000000002
73,-0.04905
74,-0.04905
75,-0.02943
76,-0.039240000000000004
77,-0.04905
78,-0.04905
79,-0.02943
80,-0.02943
81,-0.019620000000000002
82,-0.019620000000000002
83,-0.04905
84,-0.04905
85,-0.04905
86,-0.039240000000000004
87,-0.02943
88,-0.04905
89,-0.05886
90,-0.04905
91,-0.039240000000000004
92,-0.02943
93,-0.04905
94,-0.039240000000000004
95,-0.02943
96,-0.039240000000000004
97,-0.04905
98,-0.039240000000000004
99,-0.02943
100,-0.02943
101,-0.019620000000000002
102,-0.04905
103,-0.04905
104,-0.039240000000000004
105,-0.02943
106,-0.039240000000000004
107,-0.039240000000000004
108,-0.02943
109,-0.04905
110,-0.05886
111,-0.019620000000000002
112,-0.02943
113,-0.039240000000000004
114,-0.039240000000000004
115,-0.02943
116,-0.019620000000000002
117,-0.02943
118,-0.02943
119,-0.039240000000000004
120,-0.05886
121,-0.04905
122,-0.04905
123,-0.039240000000000004
124,-0.02943
125,-0.019620000000000002
126,-0.039240000000000004
127,-0.039240000000000004
128,-0.039240000000000004
129,-0.039240000000000004
130,-0.02943
131,-0.02943
132,-0.019620000000000002
